"date_local","time_local","timestamp_iso","roundId","value","reason","url","pageTitle"
"2026-04-24","04:34:07","2026-04-24T04:34:07.101Z","1","1.92","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:34:24","2026-04-24T04:34:24.303Z","2","2.31","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:34:37","2026-04-24T04:34:37.902Z","3","1.3","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:34:51","2026-04-24T04:34:51.507Z","4","1.29","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:36:14","2026-04-24T04:36:14.299Z","5","2.08","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:36:35","2026-04-24T04:36:35.499Z","6","4.32","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:36:53","2026-04-24T04:36:53.106Z","7","2.64","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:38:52","2026-04-24T04:38:52.739Z","8","7.54","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:39:21","2026-04-24T04:39:21.716Z","1","1.71","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","04:39:40","2026-04-24T04:39:40.512Z","2","2.97","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","04:39:58","2026-04-24T04:39:58.516Z","3","2.72","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","04:43:24","2026-04-24T04:43:24.145Z","1","1.13","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:43:36","2026-04-24T04:43:36.145Z","2","1.06","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:43:50","2026-04-24T04:43:50.549Z","3","1.42","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:44:06","2026-04-24T04:44:06.144Z","4","1.75","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:44:18","2026-04-24T04:44:18.946Z","5","1.17","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:45:36","2026-04-24T04:45:36.944Z","6","4.25","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:45:49","2026-04-24T04:45:49.343Z","7","1.08","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:46:03","2026-04-24T04:46:03.346Z","8","1.34","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:46:16","2026-04-24T04:46:16.144Z","9","1.17","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:46:30","2026-04-24T04:46:30.545Z","10","1.45","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:46:44","2026-04-24T04:46:44.944Z","11","1.42","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:46:59","2026-04-24T04:46:59.348Z","12","1.4","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:48:33","2026-04-24T04:48:33.725Z","13","2.47","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:48:52","2026-04-24T04:48:52.146Z","14","1.42","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:49:14","2026-04-24T04:49:14.950Z","15","5.33","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:49:45","2026-04-24T04:49:45.750Z","16","3.19","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:50:01","2026-04-24T04:50:01.457Z","17","1.8","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:50:53","2026-04-24T04:50:53.356Z","18","1.07","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:52:04","2026-04-24T04:52:04.718Z","19","2.17","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:52:51","2026-04-24T04:52:51.354Z","20","1.88","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:54:15","2026-04-24T04:54:15.200Z","1","1.14","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:54:28","2026-04-24T04:54:28.800Z","2","1.26","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:54:47","2026-04-24T04:54:47.599Z","3","2.96","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:55:14","2026-04-24T04:55:14.800Z","4","9.76","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:55:38","2026-04-24T04:55:38.806Z","5","6.59","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:55:51","2026-04-24T04:55:51.199Z","6","1.12","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:56:27","2026-04-24T04:56:27.322Z","7","11.55","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:57:06","2026-04-24T04:57:06.802Z","8","2.98","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:57:39","2026-04-24T04:57:39.717Z","9","1.59","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:57:52","2026-04-24T04:57:52.802Z","10","1.09","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:58:06","2026-04-24T04:58:06.000Z","11","1.21","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:58:22","2026-04-24T04:58:22.798Z","12","2.21","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:58:42","2026-04-24T04:58:42.404Z","13","3.46","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:58:57","2026-04-24T04:58:57.600Z","14","1.63","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:59:15","2026-04-24T04:59:15.607Z","15","2.82","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","04:59:35","2026-04-24T04:59:35.999Z","16","3.83","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:00:12","2026-04-24T05:00:12.578Z","1","21.83","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:00:26","2026-04-24T05:00:26.959Z","2","1.45","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:00:57","2026-04-24T05:00:57.361Z","3","13.14","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:01:33","2026-04-24T05:01:33.356Z","4","2.94","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:02:57","2026-04-24T05:02:57.761Z","5","4.08","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:04:27","2026-04-24T05:04:27.912Z","1","6.48","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:04:41","2026-04-24T05:04:41.912Z","2","1.34","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:04:56","2026-04-24T05:04:56.704Z","3","1.54","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:05:11","2026-04-24T05:05:11.505Z","4","1.51","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:05:25","2026-04-24T05:05:25.104Z","5","1.3","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:06:04","2026-04-24T05:06:04.706Z","6","27.2","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:06:21","2026-04-24T05:06:21.109Z","7","2","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:06:37","2026-04-24T05:06:37.118Z","8","1.86","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:06:50","2026-04-24T05:06:50.704Z","9","1.33","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:07:08","2026-04-24T05:07:08.304Z","10","2.4","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:07:31","2026-04-24T05:07:31.114Z","11","5.58","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:07:49","2026-04-24T05:07:49.910Z","12","3.05","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:08:03","2026-04-24T05:08:03.905Z","13","1.39","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:08:31","2026-04-24T05:08:31.507Z","14","9.88","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:12:19","2026-04-24T05:12:19.123Z","15","4.97","stalled","https://888starz.bet/en/games/crash","Crash Play Online 👉 888starz Gambling Games | 888starz.bet"
"2026-04-24","05:12:40","2026-04-24T05:12:40.277Z","1","1.42","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:12:55","2026-04-24T05:12:55.872Z","2","1.74","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:13:08","2026-04-24T05:13:08.669Z","3","1.19","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:13:21","2026-04-24T05:13:21.868Z","4","1.17","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:13:59","2026-04-24T05:13:59.070Z","5","8","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
"2026-04-24","05:18:37","2026-04-24T05:18:37.375Z","1","1.06","stalled","https://888starz.bet/games-frame/games/371?co=96&cu=27&lg=en&wh=55","Crash"
